epoch,train_loss,val_f1,best_thr
1,0.9174361056539323,0.8860759493670886,0.43499999999999994
2,0.6270743026085193,0.8860759493670886,0.8499999999999999
3,0.36832540601432207,0.8947368421052632,0.8749999999999999
4,0.1762269754169301,0.868421052631579,0.635
5,0.09898263552327533,0.8717948717948718,0.05
6,0.0678232620989701,0.8717948717948718,0.42499999999999993
7,0.01690013700755252,0.8831168831168831,0.6849999999999999
8,0.008181328428803421,0.8717948717948718,0.08499999999999999
9,0.004505421497355761,0.8831168831168831,0.5349999999999999
10,0.0039697536846170075,0.8831168831168831,0.4049999999999999
